hypothesis_for_fig,wording_figure,group_final,group,Name,Hypothesis (description),Internal/External,addressed in which Grephon paper,Origin (Author/paper),Explanation,Useful? (problematic/testable),Addressed? (no/barely/adequately),Sub-field,Entered by (AKE/FB/KP),comments
longer growing season != more growth,Longer growing season != more growth,C-sink limitation,C-sink limitation,C-sink limitation,,,oddi 2022,,,,,,FB,
longer growing season != more growth,Longer growing season != more growth,C-sink limitation,C-sink limitation,C-sink limitation,"Increased photosynthethesis causes plants to progress through their seasonal cycle more rapidly, resulting in earlier leaf senescence. if growing-season length is constrained by carbon-sink capacity, then increased source strength (carbon uptake in spring/summer) should drive earlier leaf senescence in a warming, CO2-enriched world.",internal,Zani2020,"M. J. Paul, C. H. Foyer, J. Exp. Bot. 52, 1383–1400 (2001).","This hypothesis may not explicitely make predictions about growing season length vs growth observed across space or time, but it does provide an explanation about why you might NOT see increased growth with increased GSL.",testable,no,physiological ecology,AKE,they looked only at relationships between leafout and senescence (earlier leafout = earlier senescence) but did not look at GSL
longer growing season != more growth,Longer growing season != more growth,C-sink limitation,C-sink limitation,C-sink limitation,"Increased photosynthethesis causes plants to progress through their seasonal cycle more rapidly, resulting in earlier leaf senescence. if growing-season length is constrained by carbon-sink capacity, then increased source strength (carbon uptake in spring/summer) should drive earlier leaf senescence in a warming, CO2-enriched world.",internal,Zani2020,"M. J. Paul, C. H. Foyer, J. Exp. Bot. 52, 1383–1400 (2001).","This hypothesis may not explicitely make predictions about growing season length vs growth observed across space or time, but it does provide an explanation about why you might NOT see increased growth with increased GSL.",testable,no,physiological ecology,AKE,they looked only at relationships between leafout and senescence (earlier leafout = earlier senescence) but did not look at GSL
carbon fertilization,Carbon fertilization,C-source limitation,C-source limitation,C source limitation,"CO2 fertilization and/or increased in water-use efficiency associated
with the rise in atmospheric CO2 leads to greater growth/carbon uptake",external,Finzi2020,"multiple- e.g., Keenan et al. 2013, Keenand et al 2016, Williams
et al. 2016","""The progressive lengthening and warming of the growing season
through time has increased net C uptake in hardwood stands. This is likely reinforced by increasing
precipitation, CO2 fertilization, increases in water-use efficiency (WUE), and changes in atmospheric deposition (Thomas et al. 2010, Keenan et al. 2013).""",,,biogeochemical cycling (flux tower),AKE,remove this?authors believe increased growth/productivity is due to muktiple factors in addition to longer/warmer growing season
carbon fertilization,Carbon fertilization,C-source limitation,C-source limitation,C-source limitation,GPP limits plant growth,,oddi 2022,,,,,,FB,remove this?authors believe increased growth/productivity is due to muktiple factors in addition to longer/warmer growing season
more temp = more drought (drought limitation),More temp = more drought (drought limitation),drought offset,drought offset,warmer springs leads to lagged plant productivity later in the season,,,buermann2018,,,,,,,
more temp = more drought (drought limitation),More temp = more drought (drought limitation),drought offset,drought offset,drought offsets longer GS,advanced leaf-out causes increased water stress during the GS associated with lower radial growth,external,camarrero 2022,"Gruber et al., 2010",,testable,,Dendro,FB,
more temp = more drought (drought limitation),More temp = more drought (drought limitation),drought offset,drought offset,,,,DeSauvage 2022,,,,,,FB,
more temp = more drought (drought limitation),More temp = more drought (drought limitation),drought offset,drought offset,thinning (therefore increasing soil moisture availability) prolongs duration of wood formation,ultimately this goes down to: Limited soil moisture availability towards the end of the GS cuts off the period of radial growth,external,Drew 2018,,,,,,FB,
more temp = more drought (drought limitation),More temp = more drought (drought limitation),drought offset,drought offset,environmental conditions deterime the ability of graily growth,,both,etzold2021,,,,,,KP,
more temp = more drought (drought limitation),More temp = more drought (drought limitation),drought offset,drought offset,Growing season length is influencing radial growth. Total increment mainly influenced by soil moisture availaility,,external,Kolar 2016,,,,,,FB,
earlier-longer-more growth,Longer growing season = more growth,earlier-longer-more growth,earlier-longer-more growth,Earlier leaf-out - more radial growth,,both,camarrero 2022,,,testable,,Dendro,FB,
earlier-longer-more growth,Longer growing season = more growth,earlier-longer-more growth,earlier-longer-more growth,,earlier start to growing season = longer growing season = more carbon sequestered ,external,Chen 2000,,"This analysis shows that increased
spring temperature caused earlier leaf emergence which in turn caused forest to
sequester more carbon.",testable,barely,biogeochemical cycling (flux tower),AKE,
